Date,Price min,Price max
08-02-2022,0.8,2.9
04-01-2022,1.0,2.9
03-11-2021,1.0,2.6
11-10-2021,1.0,2.4
08-09-2021,1.4,3.0
16-08-2021,0.8,2.4
09-08-2021,1.0,2.4
02-08-2021,1.35,2.4
26-07-2021,1.2,2.4
23-07-2021,1.2,2.5
21-07-2021,1.5,2.4
12-07-2021,1.8,2.4
07-07-2021,1.8,2.5
06-07-2021,1.3,2.5
30-06-2021,1.35,2.5
14-06-2021,0.8,2.8
02-02-2021,0.9,2.5
01-10-2020,1.2,2.2
08-09-2020,1.0,1.8
01-09-2020,1.0,1.5
03-08-2020,1.0,3.0
13-07-2020,1.2,2.6
11-05-2020,2.0,3.2
13-12-2019,1.1,2.1
05-10-2019,1.1,1.9
08-05-2019,1.0,2.2
15-11-2018,0.8,2.1
23-10-2018,0.7,1.7
18-10-2018,0.7,1.2
08-10-2018,0.7,1.4
14-09-2018,1.0,1.6
10-09-2018,1.0,1.8
07-09-2018,1.2,1.8
03-09-2018,0.9,1.8
30-08-2018,0.9,1.6
20-08-2018,0.9,1.7
13-08-2018,1.0,1.85
02-08-2018,1.0,2.1
25-07-2018,1.0,2.3
18-07-2018,1.2,2.4
13-07-2018,1.2,2.3
09-07-2018,1.0,2.3
04-07-2018,1.0,2.2
26-06-2018,1.6,2.7
18-06-2018,1.6,2.2
11-06-2018,2.0,2.2
04-06-2018,2.0,2.6
30-05-2018,1.8,2.7
08-05-2018,1.7,2.9
01-05-2018,1.4,2.9
16-04-2018,1.2,2.9
31-03-2018,1.2,2.8
13-03-2018,0.8,2.8
09-01-2018,0.8,2.5
01-12-2017,0.8,2.2
30-10-2017,0.6,2.1
28-09-2017,0.6,1.6
25-09-2017,0.6,1.5
21-09-2017,0.6,1.6
05-09-2017,0.6,1.8
29-08-2017,0.7,1.9
23-08-2017,0.7,1.6
17-08-2017,0.8,1.9
10-08-2017,1.0,1.9
08-08-2017,1.0,1.8
02-08-2017,1.2,1.9
28-07-2017,0.9,1.8
21-07-2017,1.0,1.8
14-07-2017,1.0,2.0
09-07-2017,1.0,2.4
22-06-2017,1.1,2.5
21-06-2017,1.6,2.6
19-06-2017,1.5,2.5
08-06-2017,1.0,2.5
01-06-2017,1.3,1.8
15-05-2017,1.0,1.9
05-05-2017,1.3,2.0
24-04-2017,0.6,1.9
13-04-2017,0.8,2.2
23-01-2017,0.7,2.2
09-01-2017,0.7,2.0
05-01-2017,0.8,2.0
03-01-2017,0.8,2.0
22-12-2016,0.8,2.0
12-12-2016,0.8,2.0
15-11-2016,0.6,2.0
07-11-2016,0.6,1.7
24-10-2016,0.8,1.7
17-10-2016,0.8,1.3
10-10-2016,0.8,1.8
19-09-2016,1.0,1.6
13-09-2016,1.0,1.8
30-08-2016,0.8,1.8
10-08-2016,1.0,1.9
08-08-2016,1.0,1.4
03-08-2016,1.0,1.4
20-07-2016,1.0,1.5
14-07-2016,1.0,1.3
11-07-2016,1.2,2.2
06-07-2016,1.1,2.2
04-07-2016,1.0,2.2
01-07-2016,1.1,2.2
24-06-2016,1.0,2.2
23-06-2016,1.0,2.3
20-06-2016,1.2,2.3
15-06-2016,1.0,2.3
13-06-2016,0.85,2.3
06-06-2016,1.0,2.2
03-06-2016,1.3,2.2
01-06-2016,1.2,2.2
25-04-2016,1.0,2.2
15-04-2016,0.7,2.2
12-04-2016,0.6,2.2
30-03-2016,0.7,2.1
08-03-2016,0.4,2.0
01-03-2016,0.7,2.0
22-02-2016,0.7,2.5
09-02-2016,0.6,2.5
19-01-2016,0.7,2.0
12-01-2016,0.7,1.9
04-01-2016,0.7,1.2
16-12-2015,0.6,1.2
08-12-2015,0.6,1.4
01-12-2015,0.6,1.5
23-11-2015,1.0,1.5
04-11-2015,0.6,1.3
28-10-2015,0.7,1.3
20-10-2015,0.8,1.3
23-09-2015,0.8,1.5
04-09-2015,0.6,1.5
01-09-2015,1.0,1.5
25-08-2015,0.8,1.4
12-08-2015,1.0,1.5
06-08-2015,0.7,1.5
04-08-2015,0.8,1.8
16-07-2015,1.0,2.0
01-07-2015,1.0,2.1
22-06-2015,1.3,2.0
16-06-2015,1.4,2.1
09-06-2015,1.2,2.1
21-05-2015,1.0,2.1
20-05-2015,1.3,2.1
07-05-2015,0.7,2.1
04-05-2015,0.7,2.2
15-04-2015,0.8,2.0
01-04-2015,0.6,2.0
11-03-2015,0.6,2.2
04-03-2015,0.6,1.85
16-02-2015,0.7,1.8
02-02-2015,0.7,2.0
21-01-2015,0.7,1.7
16-01-2015,0.7,1.6
08-01-2015,0.7,1.5
18-12-2014,0.8,1.6
11-12-2014,0.8,1.8
09-12-2014,0.8,2.0
05-12-2014,0.8,1.8
01-12-2014,0.9,1.8
14-11-2014,0.8,1.1
10-11-2014,0.9,1.2
04-11-2014,0.8,1.2
30-10-2014,0.8,1.3
14-10-2014,0.8,1.2
06-10-2014,0.9,1.2
26-09-2014,0.8,1.2
25-09-2014,0.9,1.3
15-09-2014,0.9,1.8
11-09-2014,1.0,1.3
08-09-2014,0.8,1.3
26-08-2014,0.8,2.0
20-08-2014,0.6,2.0
11-08-2014,0.8,2.0
04-08-2014,1.0,2.0
30-07-2014,1.0,1.6
21-07-2014,1.0,2.0
07-07-2014,1.0,2.1
24-06-2014,1.3,2.0
13-06-2014,1.35,2.0
12-06-2014,1.35,1.6
27-05-2014,0.6,1.5
26-05-2014,1.0,1.9
22-05-2014,1.2,2.0
21-05-2014,1.0,2.0
19-05-2014,1.0,1.5
15-05-2014,1.0,1.9
14-05-2014,1.2,1.9
12-05-2014,1.0,2.0
07-05-2014,1.2,1.9
30-04-2014,0.6,2.1
29-04-2014,0.6,2.1
28-04-2014,0.6,2.0
25-04-2014,0.6,2.0
24-04-2014,0.6,2.0
23-04-2014,0.6,2.0
22-04-2014,0.6,1.8
17-04-2014,0.6,2.1
16-04-2014,0.6,1.8
15-04-2014,0.6,2.0
14-04-2014,0.8,2.0
08-04-2014,0.6,2.2
07-04-2014,0.6,2.0
04-04-2014,0.4,2.0
03-04-2014,0.5,2.0
01-04-2014,0.7,1.5
28-03-2014,0.7,1.7
24-03-2014,0.5,2.0
17-03-2014,0.5,1.5
13-03-2014,0.5,1.9
11-03-2014,0.5,2.0
05-03-2014,0.6,2.0
04-03-2014,0.6,1.4
26-02-2014,0.5,2.1
24-02-2014,0.5,1.5
21-02-2014,0.0,1.0
19-02-2014,0.8,2.0
14-02-2014,0.4,2.2
12-02-2014,0.4,1.0
10-02-2014,0.7,2.0
07-02-2014,0.7,2.2
05-02-2014,0.6,1.7
31-01-2014,0.6,2.0
24-01-2014,0.5,2.0
22-01-2014,0.8,2.0
17-01-2014,0.6,1.4
15-01-2014,0.6,1.9
13-01-2014,0.5,1.9
10-01-2014,0.7,1.3
08-01-2014,0.5,1.2
06-01-2014,0.5,1.3
03-01-2014,0.7,1.3
